buurtcode,reachable_buurten_10min,avg_bike_minutes_to_reachable,avg_bike_distance_to_reachable,bikeshed_total_amenities,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities
BU03420501,18,5.802222222222222,1511.8522222222218,137.0,92.0,45.0
BU03550304,19,5.69736842105263,1620.455789473684,186.0,117.0,69.0
BU0363FJ03,32,6.25875,1759.5465624999997,340.0,199.0,141.0
BU0363MA05,36,6.2925,1818.5433333333335,422.0,210.0,212.0
BU04530702,43,7.300930232558141,2124.299069767442,309.0,212.0,97.0
BU04792314,24,6.819166666666665,1951.249583333333,78.0,48.0,30.0
BU04840803,25,6.0204,1582.1616000000004,202.0,130.0,72.0
BU05050202,57,5.905438596491226,1703.5343859649124,400.0,239.0,161.0
BU05050909,22,6.596818181818182,1854.1595454545457,136.0,101.0,35.0
BU08990204,42,5.707857142857142,1638.2754761904757,239.0,148.0,91.0
BU15250205,29,6.3986206896551705,1724.4424137931035,151.0,108.0,43.0
BU15980702,19,5.594736842105263,1672.961052631579,74.0,58.0,16.0
BU16740200,16,6.700000000000001,1828.338125,176.0,92.0,84.0
BU16740301,24,6.251666666666666,1896.0849999999998,227.0,146.0,81.0
BU16801600,3,5.086666666666667,1519.0266666666666,18.0,15.0,3.0
BU17010500,5,5.709999999999999,1712.6299999999999,14.0,13.0,1.0
BU17080408,1,0.0,0.0,2.0,2.0,0.0
BU17190201,11,5.97090909090909,1763.0463636363638,75.0,49.0,26.0
BU17400103,5,5.488,1643.396,31.0,24.0,7.0
BU18840004,7,4.528571428571429,1326.7957142857142,66.0,40.0,26.0
BU18950002,9,6.1722222222222225,1743.1544444444444,82.0,57.0,25.0
BU18950004,2,4.52,791.43,10.0,10.0,0.0
BU19000106,19,5.169473684210527,1470.9936842105262,172.0,119.0,53.0
BU19161200,27,6.681481481481479,1785.4999999999995,291.0,171.0,120.0
BU19260232,16,6.363125000000001,1788.9443749999998,126.0,94.0,32.0
BU19402801,2,2.495,745.925,12.0,8.0,4.0
BU19403001,3,5.573333333333333,1389.89,18.0,15.0,3.0
BU19420509,34,6.714411764705881,1948.5041176470588,239.0,163.0,76.0
BU19590194,1,0.0,0.0,7.0,3.0,4.0
BU00141216,31,6.189677419354839,1771.8496774193547,156.0,105.0,51.0
