buurtcode,klasse_apotheek,klasse_basisschool,klasse_bushalte,klasse_fastfood,klasse_horeca,klasse_huisarts,klasse_kinderopvang,klasse_kledingwinkel,klasse_restaurant,klasse_sportterrein,klasse_supermarkt,klasse_treinstation,klasse_voortgezet_onderwijs,klasse_ziekenhuis,aantal_drinkwaterpunt,utilitarian_amenities,leisure_social_amenities,total_amenities
BU08260504,0.0,2.0,2,0.0,2.0,0.0,2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,6.0,5.0,11.0
BU08260505,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.0,0.0,4.0
BU08260600,0.0,1.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,5.0,0.0,5.0
BU08260601,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.0,2.0,7.0
BU08260602,0.0,1.0,2,2.0,2.0,0.0,2,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0,7.0,6.0,13.0
BU08260603,0.0,1.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU08260604,2.0,1.0,2,0.0,0.0,2.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9.0,1.0,10.0
BU08260605,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,5.0
BU08260606,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08260607,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,2.0,7.0
BU08260700,0.0,1.0,2,0.0,1.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5.0,2.0,7.0
BU08260701,1.0,1.0,2,0.0,0.0,2.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8.0,1.0,9.0
BU08260702,0.0,0.0,2,1.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4.0,2.0,6.0
BU08260703,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,3.0
BU08260800,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08260801,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08260900,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08260901,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,3.0,5.0
BU08260902,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08261000,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,1.0,3.0
BU08261001,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3.0,2.0,5.0
BU08261100,0.0,1.0,2,0.0,2.0,0.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,5.0,5.0,10.0
BU08261109,0.0,0.0,1,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,4.0
BU08261200,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,2.0,7.0
BU08261208,0.0,0.0,2,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.0,2.0,5.0
BU08261209,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08261300,1.0,1.0,2,1.0,1.0,2.0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,9.0,4.0,13.0
BU08261307,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08261308,0.0,0.0,2,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0,5.0
BU08261309,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
