buurtcode,buurtnaam,gemeente,a_inw,elderly_share,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities,elderly_amenity_priority_score
BU17240605,Buitengebied Zuid-Oost,Bergeijk,95,0.1052631578947368,34.0,11.0,0.5866724874627121
BU17240201,Tiliaans-Weegbree e.o.,Bergeijk,510,0.1274509803921568,41.0,12.0,0.5851716303373585
BU17710002,Akert,Geldrop-Mierlo,2260,0.2544247787610619,67.0,31.0,0.5848924986470422
BU17240304,Dorpsstraat e.o.,Bergeijk,420,0.1785714285714285,52.0,19.0,0.584865039844618
BU17710005,Braakhuizen-Zuid,Geldrop-Mierlo,4020,0.2475124378109452,65.0,31.0,0.5848579376936167
BU17710006,Coevering,Geldrop-Mierlo,5200,0.2471153846153846,65.0,31.0,0.5846991164153924
BU16590003,Bedrijventerrein Bemmer,Laarbeek,265,0.0943396226415094,27.0,20.0,0.5844823381742673
BU17280006,Bladel Hofstad,Bladel,2015,0.2406947890818858,60.0,38.0,0.583219111850513
BU08580101,Agnetendal,Valkenswaard,2090,0.2320574162679425,63.0,29.0,0.5830456487653318
BU16520203,Industrieterrein Scheiweg,Gemert-Bakel,130,0.1923076923076923,50.0,34.0,0.5807948387985316
BU17240505,Weebosserweg-Breerijt,Bergeijk,180,0.25,67.0,34.0,0.5806635707491747
BU17240004,Burgemeester Magneestraat e.o.,Bergeijk,400,0.25,69.0,31.0,0.5803922117159963
BU16520202,Gemert-Oost,Gemert-Bakel,6015,0.1745635910224439,49.0,28.0,0.579980418784628
BU17280001,Bladel Bedrijventerrein De Sleutel,Bladel,110,0.1363636363636363,39.0,27.0,0.5791719861853584
BU08660002,Voldijn,Waalre,2880,0.2482638888888889,61.0,45.0,0.5791438591419709
BU17710009,Buitengebied Geldrop- West,Geldrop-Mierlo,65,0.1538461538461538,49.0,22.0,0.5766114767009972
BU17280009,Verspreide huizen Bladel,Bladel,670,0.2238805970149253,60.0,38.0,0.5764934350237287
BU07942902,B.Z.O.B.,Helmond,5,0.0,14.0,7.0,0.5751496670956191
BU07723340,Urkhoven,Eindhoven,195,0.1538461538461538,49.0,25.0,0.5741524603075545
BU17240001,Broekstraat-Hoek-Lijnt-Eijkereind,Bergeijk,470,0.2340425531914893,69.0,31.0,0.574009232992592
BU08610200,Oerle,Veldhoven,2905,0.2323580034423407,69.0,31.0,0.5733354130929326
BU17060009,Verspreide huizen in het Oosten,Cranendonck,1210,0.0289256198347107,21.0,13.0,0.5722455682494441
BU07430302,Sterrenbuurt,Asten,1660,0.2289156626506024,74.0,23.0,0.5716899152588646
BU07430501,Hemelberg,Asten,745,0.2214765100671141,71.0,26.0,0.5703508009719584
BU07431001,Ommel centrum,Asten,585,0.1794871794871795,62.0,22.0,0.56912044668437
BU07430303,Oude Bloemenbuurt,Asten,840,0.2083333333333333,70.0,23.0,0.5689177343851993
BU17280004,Bladel Gozelinusbocht,Bladel,940,0.1170212765957446,41.0,27.0,0.5687046668515805
BU07725200,Kapelbeemd,Eindhoven,105,0.1428571428571428,51.0,23.0,0.5686658247476242
BU17710008,Buitengebied Geldrop-Oost,Geldrop-Mierlo,0,,17.0,10.0,0.5685950875622447
